id,roll,adv,basis,type
0,20,none,initiative,nan
1,15,none,melee,attack
2,2,none,melee,attack
3,16,advantage,perception,check
4,15,none,melee,attack
5,5,none,athletics,check
6,5,none,initiative,nan
7,18,none,melee,attack
8,11,none,investigation,check
9,2,none,melee,attack
10,11,none,strength,check
11,7,none,dexterity,save
12,2,none,dexterity,save
13,7,none,dexterity,save
14,14,none,constitution,check
15,15,none,initiative,nan
16,10,none,melee,attack
17,7,none,constitution,save
18,2,none,strength,check
19,15,none,perception,check
20,3,none,dexterity,save
21,20,advantage,dexterity,save
22,8,none,wisdom,save
23,7,none,dexterity,check
24,13,none,dexterity,check
25,8,none,melee,attack
26,2,disadvantage,initiative,nan
27,3,disadvantage,melee,attack
28,5,none,melee,attack
29,14,none,investigation,check
30,16,none,insight,check
31,19,none,persuasion,check
32,20,none,melee,attack
33,7,none,melee,attack
34,19,none,dexterity,save
35,15,none,melee,attack
36,20,none,dexterity,check
37,16,none,strength,save
38,10,none,melee,attack
39,17,none,strength,check
40,3,none,melee,attack
41,4,none,dexterity,save
42,8,none,sleight of hand,check
43,5,none,melee,attack
44,5,none,insight,check
45,10,none,melee,attack
46,15,none,melee,attack
47,15,none,melee,attack
48,9,none,melee,attack
49,14,none,sleight of hand,check
50,5,none,strength,check
51,17,none,perception,check
52,11,none,dexterity,save
53,20,none,ranged,attack
54,18,none,melee,attack
55,13,advantage,sleight of hand,check
56,4,none,investigation,check
57,1,none,stealth,check
58,18,none,melee,attack
59,8,none,nature,check
60,5,none,melee,attack
61,4,none,initiative,nan
62,10,none,constitution,save
63,4,none,initiative,nan
64,14,advantage,strength,check
65,19,advantage,persuasion,check
66,10,none,persuasion,check
67,12,none,investigation,check
68,15,none,dexterity,save
69,6,none,initiative,nan
70,12,none,strength,save
71,15,none,wisdom,save
72,9,none,investigation,check
73,13,none,dexterity,save
74,5,none,strength,check
75,12,none,dexterity,save
76,3,none,athletics,check
77,18,none,wisdom,save
78,20,advantage,initiative,nan
79,7,none,strength,check
80,18,none,intimidation,check
81,12,none,melee,attack
82,7,none,investigation,check
83,6,none,persuasion,check
84,11,none,wisdom,save
85,2,none,perception,check
86,11,none,dexterity,save
87,13,none,strength,check
88,17,none,strength,check
89,12,none,persuasion,check
90,4,none,melee,attack
91,18,none,melee,attack
92,19,none,strength,check
93,15,none,athletics,check
94,20,none,insight,check
95,3,none,dexterity,save
96,13,none,stealth,check
97,20,advantage,persuasion,check
98,13,disadvantage,athletics,check
99,5,none,dexterity,save
100,10,none,initiative,nan
101,13,none,perception,check
102,13,none,sleight of hand,check
103,3,none,constitution,check
104,18,none,medicine,check
105,14,none,melee,attack
106,15,none,dexterity,save
107,16,none,melee,attack
108,9,none,dexterity,save
109,11,none,melee,attack
110,2,none,melee,attack
111,9,none,ranged,attack
112,18,none,dexterity,save
113,11,none,stealth,check
114,13,none,strength,check
115,17,none,perception,check
116,2,none,strength,check
117,1,none,constitution,check
118,19,none,initiative,nan
119,16,none,melee,attack
120,20,none,intimidation,check
121,2,none,sleight of hand,check
122,7,none,melee,attack
123,12,none,melee,attack
124,17,none,strength,check
125,17,advantage,melee,attack
126,17,none,persuasion,check
127,13,none,melee,attack
128,4,disadvantage,charisma,check
129,19,none,constitution,check
130,13,none,constitution,check
131,1,none,intimidation,check
132,14,none,constitution,check
133,17,none,perception,check
134,11,none,sleight of hand,check
135,9,advantage,stealth,check
136,16,none,investigation,check
137,11,none,initiative,nan
138,13,none,charisma,check
139,16,none,perception,check
140,8,none,melee,attack
141,2,none,melee,attack
142,7,none,melee,attack
143,13,none,charisma,check
